name,description,image,type,latlong
Upbeat Recreation Centre,"There are multiple things you can do at upbeat such as: Trampoline Jumping(indoor park), Basketball(outdoor), Soccer...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7f/db/eb/getlstd-property-photo.jpg?w=500&h=400&s=1,Game & Entertainment Centres,"[6.4536803, 3.4699331]"
Queen Moremi Statue,Open now,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a0/90/c5/caption.jpg?w=500&h=-1&s=1,Monuments & Statues,"[7.4821051, 4.5618713]"
Centre For Memories,Art Galleries • Art Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b2/f1/3b/l-r-akuabata-ezeh-programme.jpg?w=500&h=400&s=1,Art Galleries • Art Museums,"[6.4371329, 7.5290333]"
St Mary's Catholic Church,"St Mary is the church I enjoy going, the church is clam and peace and it possible for the lord to answer your prayers...",https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[7.6956507, 6.40263405]"
Sarius Palmetum and Botanical Garden,Totally impressed with this botanical garden. An amazing place to spend a day with nature. Will recommend with 5 stars,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/3b/83/41/plants.jpg?w=500&h=400&s=1,Gardens,"[9.10210435, 7.4887165]"
Iwalewa Art Gallery,"An amazing Art Gallery at the centre of Lekki. I love the ambience and gentle African music in this art gallery, and...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/fa/c6/8e/interior-view-of-iwalewa.jpg?w=500&h=-1&s=1,Art Galleries,"[6.4407723, 3.4613685]"
2 Masks and A Griot,Theatres,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/43/05/fa/getlstd-property-photo.jpg?w=500&h=400&s=1,Theatres,"[9.0397844, 7.5270875]"
Omenka Gallery,Art Galleries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e3/e9/cf/8.jpg?w=500&h=400&s=1,Art Galleries,"[6.464, 3.434611]"
Kokopelli,"Art tells stories, Kokopelli Gallery takes storytelling in art to the next level. When I got there, the ambience was...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/8f/23/14/a-view-of-the-gallery.jpg?w=500&h=-1&s=1,Art Galleries,"[6.4419084, 3.4135015]"
Ibadan Aquariums,Aquariums,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Aquariums,"[9.0338725, 8.677457]"
Centenary Hall,Historic Sites,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Historic Sites,"[7.4006793, 4.433597]"
Art Twenty One,"There was an 'Andy Warhol-esk' vibe to Duggar's photography, and her work is breathtakingly beautiful! 😍 It...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/21/c3/17/eko-hotelhome-of-art.jpg?w=500&h=400&s=1,Art Galleries,"[6.4307739, 3.4301063]"
CityBay Park,Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/45/fb/49/city-bay-park-lasgidionline.jpg?w=500&h=400&s=1,Parks,"[7.7259617, 8.5381301]"
Wisemen Apparel,Points of Interest & Landmarks • Lookouts,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Points of Interest & Landmarks • Lookouts,"[6.4446933, 3.4245666]"
National War Museum Umuahia,Here you can use your camera for stills The entrance fee is 200 per person and you get a guide to take you in. As usual...,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,History Museums,"[5.5449679, 7.4861593]"
Temple Muse,Amazing stop at Temple Muse where you can peruse the finest Nigerian designers alongside some of your tried and true...,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Shopping Malls,"[6.4349498, 3.4163737]"
Osun Mall,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/bc/98/66/i-love-the-osun-mall.jpg?w=500&h=400&s=1,Shopping Malls,"[7.6212381, 4.4371803]"
Palms Shopping Mall,"Palm shopping mall, is the best place ever visited in kwara state, with overall everything available at your disposal...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/1f/ac/09/mall-shops-parking.jpg?w=500&h=400&s=1,Speciality & Gift Shops • Shopping Malls,"[6.4357545, 3.4516297]"
Gen. Hassan U. Katsina House,Government Buildings,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/74/cc/f1/gen-hassan-u-katsina.jpg?w=500&h=400&s=1,Government Buildings,"[10.5659425, 7.4446476]"
Bower's Tower,"This is my number one place to visit on Ibadan, for it is an historical tower built on one of the seven hills on which...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a7/3b/27/bower-s-tower.jpg?w=500&h=400&s=1,Points of Interest & Landmarks • Observation Decks & Towers,"[7.3919595, 3.8967671]"
Leisure Sports Paintball,"Very lovely place be, the game is fun and we enjoy our coming the customer is great just that the game is like war zone.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4f/87/68/leisure-sports-paintball.jpg?w=500&h=-1&s=1,Game & Entertainment Centres,"[6.4462369, 3.4909789]"
Oniru Private Beach,₦200 per car for parking You're allowed to bring in your food and drinks Rent chairs and canopies Ice is also available...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/d2/35/2c/oniru-is-a-privately.jpg?w=500&h=400&s=1,Beaches • Beach & Pool Clubs,"[6.4232968, 3.4436966]"
Gidan Makama Museum,"Its a good museum in Kano, you can learn the history of Kano with a good building and arts here. Clean and friendly...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/a9/b8/22/entrance-to-gidan-makama.jpg?w=500&h=400&s=1,Speciality Museums,"[12.0063016, 8.5176935]"
Pleasure Park,"There are little Parks in Port-Harcourt, Pleasure park is enough for the entire state. The games, the boat riding are...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/6a/87/59/caption.jpg?w=500&h=400&s=1,Water Parks,"[4.82808235, 7.0107325]"
The Muson Centre,This more of events hall for multi-purpose use. I presume because of it's affiliation to the Musical Society of...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f9/52/8d/the-muson-centre.jpg?w=500&h=-1&s=1,Theatres,"[6.4437955, 3.4029404]"
Dolapo Obat Gallery,Dolapo Obat Art Gallery is a hidden gem that beckons art enthusiasts with its captivating collection. Nestled in a cosy...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e6/69/04/very-neat.jpg?w=500&h=-1&s=1,Art Galleries,"[9.1040725, 7.4925216]"
W National Park,National Parks,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,National Parks,"[10.2094455, 3.4294954]"
The Eyo of Eko Statue,The 'Eyo' is the prominent feature/main star of the Eko Festival. This is a festival of the Yoruba Tribe of Nigeria...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/38/f1/f2/caption.jpg?w=500&h=400&s=1,Points of Interest & Landmarks • Monuments & Statues,"[6.4525094, 3.3983688]"
National Children's Park and Zoo,A run down zoo!!! Though has a serene atmosphere for family picnics. Located within a military barracks in Aso drive...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/01/58/53/the-park-entrance.jpg?w=500&h=-1&s=1,Zoos,"[9.0813019, 7.5253846]"
Dala Hill,"Nice place for a picnic. No bathroom facilities though, get the children to ease themselves before you get there.",https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/29/c2/bd/filename-view-of-kano.jpg?w=500&h=400&s=1,Points of Interest & Landmarks,"[12.0119308, 8.51567205]"
Slave History Museum,If ur in Calabar you really need to visit this place I wasn't allowed to snap....,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/1b/a7/a1/caption.jpg?w=500&h=400&s=1,Speciality Museums,"[4.9664283, 8.3185732]"
National Art Theatre,It is an ideal tourist destination for Private and Group tours. It is educative for the children and it is a place of...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/7a/1a/bc/national-arts-theatre.jpg?w=500&h=400&s=1,Theatres,"[6.4764197, 3.3693167]"
Bature Brewery,"It is an open area with a rusty look and down to earth vibe. It usually has a mixed crowd, so it's easy to meet people...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f0/57/94/caption.jpg?w=500&h=400&s=1,Breweries,"[7.75380675, 5.45451005]"
Mono River,"The Auberge Grand Popo can organise Mono River trips, or you can walk down to the Old Town of Grand Popo where the...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/03/cb/06/rio-mono.jpg?w=500&h=400&s=1,Bodies of Water,"[5.83285945, 5.174586]"
Vivid Exclusive Art Gallery,Thanks for being a great host at Vivid exclusive art gallery - Gabriel! Best wishes - Sylvester and Deeksha....,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/8b/16/a2/vivid.jpg?w=500&h=-1&s=1,Art Galleries • Art Museums,"[6.4380561, 3.4121279]"
Hi-Impact Planet Amusement Park and Resort,Had all the attractions you can imagine in an amusement park and I was amazed such a facility existed in Nigeria. The...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0e/dc/b2/mexican-fiesta.jpg?w=500&h=400&s=1,Amusement & Theme Parks,"[6.726803, 3.4187594]"
Ovuomaroro Studio and Gallery,I met the Prof Bruce and I have 5 of his artwork. Took pics with him with my artwork. He is great and was so happy and...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/92/f5/36/prof-bruce-onobrakpeya.jpg?w=500&h=400&s=1,Art Galleries,"[6.49911655, 3.34001085]"
Central Mosque,"You will find clothing materials and ready made clothes especially ""Jallabiya"" the long men dress usually imported from...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/59/e0/32/central-mosque.jpg?w=500&h=400&s=1,Religious Sites,"[8.39800425, 6.95811695]"
Agbokim Waterfalls,"It actually a place to go and experience wonders in nature, it actually the best site I have visited so far and I will...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/4d/1b/32/agbokim-seven-faced-wonder.jpg?w=500&h=400&s=1,Waterfalls,"[5.9067861, 8.9126642]"
Ndubuisi Kanu Park,This a departure from the norm. This a good park to have fun with family and friends. With plenty of green around you.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/01/48/0b/i-am-the-first-one-to.jpg?w=500&h=400&s=1,Parks,"[6.6142375, 3.3657717]"
Retro Africa Gallery,"😍 Retro Gallery is located in a serene neighborhood in Abuja's Asokoro district, and within the premises is The...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/18/da/e7/view-of-upstairs-gallery.jpg?w=500&h=400&s=1,Art Galleries,"[9.0541955, 7.5267439]"
Central Park Abuja,"Nice place,they have a kids playground,an area designated for adult indoor games as well and the crowd for ticket...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/a5/6f/42/we-are-on.jpg?w=500&h=-1&s=1,Amusement & Theme Parks • Water Parks,"[9.0636796, 7.4909814]"
Gurara Waterfalls,"dangerous but beautiful, it has high waters in the rain season, and low waters in the dry season. we visited in the dry...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/78/bf/5e/powerful-waters-of-gurara.jpg?w=500&h=-1&s=1,Waterfalls,"[9.314766, 7.0200804]"
Hourglass Gallery,My first visit to Nigeria and I am exceptionally impressed with the talent here.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/8c/8f/8b/main-gallery.jpg?w=500&h=-1&s=1,Art Galleries,"[6.4273049, 3.4128116]"
Gidan Dan Hausa,It is a museum full of historical artifacts of Kano dating back several hundreds of years. There are excavated huge...,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Speciality Museums,"[11.9823125, 8.5456875]"
Central Mosque of Lagos,Though parking can be very difficult due to the location. I recommend any Muslim visitor to Lagos to visit the Mosque...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/48/35/da/getlstd-property-photo.jpg?w=500&h=-1&s=1,Religious Sites,"[6.5721819, 3.3582604]"
Mindscape Childrens Museum,"The outdoors was also a favourite, massive and fun. Amazing space all round.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/88/e4/b3/mindscapes-children-s.jpg?w=500&h=-1&s=1,Children's Museums,"[6.45371455, 3.4784235]"
Ado Bayero Mall,Another popular store is GAME; which in turn is Africa's largest discount retailer. This South African...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/50/5e/97/ado-bayero-mall-1.jpg?w=500&h=-1&s=1,Shopping Malls,"[11.9774593, 8.53595625]"
The Ibeno Beach,"However, Ibeano Beach is in Eket, Akwa ibom not Calabar.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/64/13/c3/the-ibeno-beach.jpg?w=500&h=400&s=1,Points of Interest & Landmarks • Piers & Boardwalks,"[4.5414099, 8.0089688]"
Sultan Bello Masjid,Lovely creaky located.  Plenty of space and parking with well and highly regarded Mallams.Friday payet is about...,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Religious Sites,"[11.8119691, 6.70273335]"
Zoological Gardens,Zoos,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Zoos,"[8.3895849, 5.7248279]"
Green Fingers Wildlife Conservation Initiative,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/4e/f8/61/what-a-beautiful-day.jpg?w=500&h=400&s=1,Nature & Wildlife Areas,"[6.4689172, 3.623595]"
Sultan Palace Hall Sokoto,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/17/f2/c5/sultan-palace-hall-sokoto.jpg?w=500&h=-1&s=1,Religious Sites,"[13.067043, 5.247332]"
Aldusar Park And Zoo,I visited the park and zoo three times as it is located in my hometown Katsina. We have no such a facility in the State...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/28/4d/a1/this-pictures-shows-one.jpg?w=500&h=400&s=1,Zoos,"[12.9541434, 7.6147072]"
Museum of Colonial History,See picture for details of the different Bays. Our guide was competent and he also helped us get around Aba afterwards.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/cc/51/a8/bored.jpg?w=500&h=400&s=1,History Museums,"[8.8579322, 8.016415]"
Ilorin Central Mosque,Points of Interest & Landmarks • Architectural Buildings,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/8d/d4/d7/ilorin-central-mosque.jpg?w=500&h=400&s=1,Points of Interest & Landmarks • Architectural Buildings,"[9.0831728, 3.3475093]"
MOCA Lagos,Art Galleries • Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/87/0c/6b/getlstd-property-photo.jpg?w=500&h=400&s=1,Art Galleries • Speciality Museums,"[6.4266754, 3.6196576]"
"Thought Pyramid Art Centre, Lagos",Art Galleries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/37/06/21/thought-pyramid-art-centre.jpg?w=500&h=400&s=1,Art Galleries,"[6.4439671, 3.4155275]"
Ado Kyamba Textile Kwarkiya,I work in this place over than 4 years the manager and the owner all are kindhearted may Allah bless all of you my...,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Shopping Malls,"[12.2464744, 8.5968303]"
Napex Beach Store,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/26/6e/c7/never-need-to-worry-about.jpg?w=500&h=-1&s=1,Beaches,"[6.49616565, 3.4021487]"
The New Afrika Shrine,This is a must do when visiting Nigeria.,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Bars & Clubs,"[6.6227881, 3.3565754]"
Oniru Private Beach,Open now,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/dd/a7/b6/had-a-great-experience.jpg?w=500&h=400&s=1,Beaches,"[6.4232968, 3.4436966]"
Mbm Beauty & Spa,"Good massage and full body treatment with a great experience, excellent facials and deep tissue massage.",https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Spas,"[6.443357, 3.5385552]"
Iyana Ipaja,Sports Complexes • Dog Tracks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/7e/8c/52/dreaming-of-the-perfect.jpg?w=500&h=400&s=1,Sports Complexes • Dog Tracks,"[6.6096226, 3.2873135]"
Eden,Gardens,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Gardens,"[6.5844838, 3.3754552]"
Nelson Mandela Gardens,Open now,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/6d/56/94/accommodation-deluxe.jpg?w=500&h=400&s=1,Parks,"[6.20842035, 6.68005515]"
Klubdelag,Amusement & Theme Parks,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Amusement & Theme Parks,"[6.4576312, 3.469685]"
Odu'a Museum and Hall of Fame,Speciality Museums • History Museums,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Speciality Museums • History Museums,"[7.3878169, 3.879034]"
Esa Cave,Caverns & Caves,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Caverns & Caves,"[6.92480315, 6.10092315]"
Pinkdaisy Kids,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/ba/bb/c3/pinkdaisy-kids-premium.jpg?w=500&h=400&s=1,Shopping Malls,"[4.8250423, 7.0823892]"
Our Lady Queen Of Nigeria Catholic Cathedral,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[7.7686075, 5.424038]"
Unilag University Of Lagos,Universities & Schools,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/31/c4/d1/wardrobe-and-tv.jpg?w=500&h=-1&s=1,Universities & Schools,"[6.515759, 3.3898447]"
Funfactory,"My 4-year old son had so much fun on the bouncy castle, the mini ferris wheel, the carousel, the climbing tower and...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/f6/38/f3/funfactory.jpg?w=500&h=400&s=1,Game & Entertainment Centres,"[6.7181511, 3.33986045]"
YAHWEH Our Redeemer Sabbath Synagogue,Open now,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d9/96/54/listening-to-rabbi-joshua.jpg?w=500&h=400&s=1,Points of Interest & Landmarks • Religious Sites,"[5.4565526, 6.9913328]"
The Beacon Fest,Music Festivals,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/b6/86/2e/the-beacon-fest-is-an.jpg?w=500&h=400&s=1,Music Festivals,"[6.4467522, 3.4231887]"
Centre For Black And African Arts And Civilization,Art Museums • History Museums,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Museums • History Museums,"[6.4500661, 3.3934571]"
studioDADAS,Art Galleries,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Galleries,"[6.4764592, 3.3669351]"
"Festival Mall, Festac",Shopping Malls,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Shopping Malls,"[6.4650313, 3.2933014]"
Ngel Nyaki,Points of Interest & Landmarks • Universities & Schools,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Points of Interest & Landmarks • Universities & Schools,"[7.0490905, 11.0710465]"
Ngel Nyaki,Points of Interest & Landmarks • Universities & Schools,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Points of Interest & Landmarks • Universities & Schools,"[7.0490905, 11.0710465]"
Chucks Shopping Mall,Shopping Malls,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Shopping Malls,"[7.80111, 6.7443087]"
Miskay Boutique,Department Stores,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Department Stores,"[6.5195299, 3.4142895]"
The Studio,Art Galleries,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Galleries,"[7.778367, 5.3644599]"
Indimi mosque,Religious Sites,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Religious Sites,"[11.8181041, 13.1423444]"
Olori Art Foundation,Art Galleries,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Galleries,"[6.4312699, 3.4813606]"
MsMakor,Department Stores,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/7f/13/6a/bubble-dress.jpg?w=500&h=400&s=1,Department Stores,"[9.0826392, 7.4712593]"
Angels and Muse,Art Galleries • Speciality Museums,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Galleries • Speciality Museums,"[6.4436067, 3.4188632]"
Maria Assumpta Cathedral,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[8.5273803, 8.5169246]"
Cathedral Church Of Our Saviour,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[6.8232746, 3.9181067]"
Gemini Arts Gallery,Antique Shops,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/db/c2/1d/caption.jpg?w=500&h=400&s=1,Antique Shops,"[6.446735, 3.4055143]"
Novare Lekki Mall,Shopping Malls,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Shopping Malls,"[6.4676588, 3.6390369]"
Ceddi Plaza,Shopping Malls,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Shopping Malls,"[9.0550646, 7.4895426]"
Awka Museum,History Museums,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,History Museums,"[6.2168843, 7.073983]"
Zaria Central Mosque,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/bf/6b/44/on-the-main-square-near.jpg?w=500&h=400&s=1,Religious Sites,"[11.11130665, 7.69022985]"
Church of the Twelve Apostles,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[9.0395356, 7.4733371]"
Esoteric Designs Store,Art Galleries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/19/a4/fa/caption.jpg?w=500&h=400&s=1,Art Galleries,"[6.44094575, 3.4068112]"
EYN Church,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[9.2432303, 8.2042445]"
St. Martin De Porres Catholic Church,Churches & Cathedrals,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/05/1e/d6/nice.jpg?w=500&h=400&s=1,Churches & Cathedrals,"[9.4135361, 5.4228941]"
Jane’s Haven Beauty Spa,The spa to have a good spa treatments and my spouse had an excellent facial and pedicure.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/46/06/23/are-you-stressed-get.jpg?w=500&h=-1&s=1,Spas,"[6.4394937, 3.4611012]"
Olympus,Art Museums,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Museums,"[6.88073195, 5.644235]"
Jenbn,Open now,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Visitor Centres • Historic Sites,"[9.3010712, 7.3858226]"
Sacred Heart Catholic Church,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[8.0089084, 5.6576726]"
EliteboxFitness,Neighbourhoods,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Neighbourhoods,"[6.434496, 3.4249125]"
Eko Gym and Spa,"Kadek proceeded to give me an absolutely terrific Thai massage, which I'd say ranks in my top 10 best experiences ever...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/20/92/35/the-massage-room.jpg?w=500&h=400&s=1,Spas,"[6.4250906, 3.4133232]"
St Paul Catholic Church,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[7.39128875, 7.13575435]"
ImmersiaVR,"The place is so nice and bubbling, there’s never a dull moment, screams from people watching horror stuff and the...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f5/4b/e9/immersia.jpg?w=500&h=400&s=1,Game & Entertainment Centres,"[6.49052855, 3.3571055]"
The Alake of Egba Palace,Points of Interest & Landmarks,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Points of Interest & Landmarks,"[7.1643044, 3.352938]"
Loveseal Church,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[6.6022218, 3.3533396]"
"LIVING FAITH CHURCH MASHI, KATSINA STATE",Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[12.7262937, 7.73186305]"
Silverbird Cinemas,"My Visit to Silverbird cinemas was very exclusive, interesting and exciting as a result of the serene environment and...",https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Cinemas,"[7.74777585, 5.4234594]"
The Henna Place,I visited the henna place in Lekki with a friend and I was really impressed with the way the service was rendered. I'm...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/aa/f2/76/getlstd-property-photo.jpg?w=500&h=400&s=1,Speciality & Gift Shops,"[6.52749185, 3.4442496]"
Muna,Military Museums,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Military Museums,"[10.23061905, 9.94257395]"
Liquor Etc,Department Stores,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Department Stores,"[6.4439906, 3.5081606]"
St John’s Anglican Church,Churches & Cathedrals,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Churches & Cathedrals,"[7.12379485, 4.14246025]"
Beauty Addict,"Very nice staff, very clean and nice parlor! The haircut was perfect and the massage amazing. Thank you very much. I...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/25/07/ae/getlstd-property-photo.jpg?w=500&h=400&s=1,Spas,"[9.0494025, 7.4469632]"
Constance And Sons Gallery,Art Galleries,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Galleries,"[7.3939028, 3.8139187]"
Escape Room Nigeria,"My trip to the escape room literally transformed me into a detective, it's a super interesting experience and I think I...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a8/68/c1/getlstd-property-photo.jpg?w=500&h=400&s=1,Escape Games,"[7.7933373, 5.36101215]"
New Afrika Shrine,"Felas music is fabolous too. and I can imagine, if there is a good life performance, you forget everything else around...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d0/e6/77/new-afrika-shrine.jpg?w=500&h=-1&s=1,Concerts • Dance Clubs & Discos,"[6.6227881, 3.3565754]"
Moeshen Art Gallery,Art Galleries,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Art Galleries,"[9.086225, 7.3908531]"
Seal Team Paintball,"Yes the 21years and under folks had fun but it was a real blast for us all. Your staff was courteous, fun (yet firm...",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1f/df/1e/war-ready.jpg?w=500&h=-1&s=1,Shooting Ranges,"[6.4245662, 3.4559183]"
Leilas Mobile Massage,Very nice interior design and great ambience. The hotel my wife and I were staying at was charging too much per person...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/01/8e/66/caption.jpg?w=500&h=400&s=1,Spas,"[7.0190467, 6.09617725]"
Filmhouse IMAX Lekki,Enjoyed my movie and meal. Itwas my first time. Im glad i didn't regret it. I was going to pick other cinemas. But...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/e5/9b/87/panini-and-fries.jpg?w=500&h=400&s=1,Cinemas,"[6.439276, 3.4710957]"
Brandskon,Libraries,https://www.freeiconspng.com/thumbs/no-image-icon/no-image-icon-10.png,Libraries,"[6.56545, 3.3708405]"
The Soul Lounge,Steak was very good and portions are big. Price quality index is very good. Service is good.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/43/77/d5/the-best-jollof-rice.jpg?w=500&h=400&s=1,Bars & Clubs,"[7.78334435, 5.40216615]"
